CC5,3024
CC8,1908
CC22,1056
CC398,738
CC30,353
CC1,205
CC121,169
CC15,158
CC59,151
CC45,116
CC97,104
ST239,65
CC9,50
CC88,46
ST25,32
CC72,31
ST20,30
CC12,25
CC151,23
ST7,17
CC425,17
ST2250,14
CC130,14
CC101,12
ST152,11
CC133,11
ST692,8
ST80,7
ST1290,6
ST10,6
ST779,4
ST672,3
ST2885,3
ST1217,3
ST1153,3
ST96,2
ST93,2
ST707,2
ST49,2
ST395,2
ST2198,2
ST1613,2
ST944,1
ST50,1
ST4137,1
ST2970,1
ST2022,1
ST1872,1
ST145,1
ST140,1
ST126,1
ST1223,1
ST1159,1
ST1093,1
ST1073,1
CCNA,74